,HeadwayRew,SD,Reward,Action
121,-770.2867500000001,-932.0824635668719,-1702.369213566872,2
122,-66.77569999999977,-118.65792102604117,-185.43362102604095,2
123,-778.4387999999999,-72.19494442133742,-850.6337444213373,2
124,-741.87,-91.76251958179876,-833.6325195817988,2
125,-564.7509999999999,-155.72769681580587,-720.4786968158057,2
126,-343.0937583333333,-205.12132994888663,-548.21508828222,2
127,-830.8104,-341.52565382738413,-1172.3360538273841,2
128,-79.81259999999997,-386.00716602444345,-465.8197660244434,2
129,-776.8788,-411.2912714853064,-1188.1700714853064,2
130,-803.62053125,-455.9293256635287,-1259.5498569135286,2
131,-575.6447999999998,-530.9775418979601,-1106.6223418979598,2
132,-385.2660000000001,-632.5324576652174,-1017.7984576652175,2
133,-799.9559999999998,-887.9977996719487,-1687.9537996719484,2
134,-124.02000000000002,-909.5412665489984,-1033.5612665489984,2
135,-775.9850000000001,-596.1639474357889,-1372.148947435789,2
136,-415.8246000000001,-428.7938885862168,-844.6184885862169,2
137,-503.08079999999995,-543.6675659097407,-1046.7483659097406,2
138,-870.79046875,-695.4842693324479,-1566.2747380824478,2
139,-186.04922083333335,-715.943929368774,-901.9931502021074,2
140,-778.4387999999999,-570.8792623858589,-1349.3180623858589,2
141,-480.03,-802.5581785764819,-1282.5881785764818,2
142,-829.962,-823.0405228311802,-1653.0025228311802,2
143,-488.149,-576.6407884366912,-1064.7897884366912,2
144,-880.8204000000001,-698.3322633245582,-1579.1526633245583,2
145,-159.8285999999999,-773.2263510770957,-933.0549510770957,2
146,-778.4387999999999,-594.7170270155565,-1373.1558270155565,2
147,-530.0459999999998,-780.1338603086011,-1310.1798603086008,2
148,-799.956,-841.5334812115321,-1641.4894812115322,2
149,-458.3817333333334,-647.9302114339853,-1106.3119447673187,2
150,-900.8258999999999,-777.9330812408539,-1678.7589812408537,2
151,-791.7902999999998,-855.9875407971776,-1647.7778407971773,2
152,-135.1446000000001,-879.8882656337679,-1015.032865633768,2
153,-540.0479999999999,-997.7357493623027,-1537.7837493623026,2
154,-809.9579999999999,-1128.2278271696723,-1938.1858271696722,2
155,-369.9017999999998,-1222.7263757685118,-1592.6281757685117,2
156,-909.735,-1276.4703465241782,-2186.2053465241784,2
157,-790.4967333333333,-1390.1859012376726,-2180.682634571006,2
158,-161.18286666666668,-1417.7778712556571,-1578.960737922324,2
159,-699.8309999999998,-1473.7554282248539,-2173.5864282248535,2
160,-819.9599999999999,-1503.6241684676395,-2323.5841684676393,2
161,-1010.3645833333334,-1014.1324151981121,-2024.4969985314456,2
162,-260.0161124999998,-802.7451899575606,-1062.7613024575603,2
163,-789.6208500000001,-824.3695746178141,-1613.9904246178144,2
164,-831.6407999999998,-868.5153129846872,-1700.1561129846868,2
165,-179.27399999999997,-997.1209505370952,-1176.3949505370952,2
166,-859.968,-1516.046247828725,-2376.014247828725,2
167,-979.9920000000001,-1075.9949953415212,-2055.9869953415214,2
168,-796.6364,-1140.5640412630157,-1937.2004412630158,2
169,-834.3186666666666,-1216.8205053426007,-2051.139172009267,2
170,-203.9177999999999,-1268.413553310679,-1472.3313533106789,2
171,-178.04361666666662,-1373.2572600289511,-1551.3008766956177,2
172,-880.7615999999997,-1341.8959468685425,-2222.6575468685423,2
173,-1053.2343833333334,-1387.5762861911414,-2440.810669524475,2
174,-940.8338999999999,-1471.1089694512775,-2411.942869451277,2
175,-871.6487999999997,-1520.5762533402337,-2392.2250533402334,2
176,-173.67479999999992,-423.5401699432482,-597.2149699432481,2
177,-206.80200000000005,-478.2251863807353,-685.0271863807353,2
178,-911.0105999999996,-816.8040401467173,-1727.814640146717,2
179,-1025.7074999999998,-863.7563365260418,-1889.4638365260416,2
180,-960.8363999999999,-987.0723963091846,-1947.9087963091845,2
181,-860.3577333333333,-1012.0969052198291,-1872.4546385531623,2
182,-103.89929999999981,-1098.0575996832872,-1201.956899683287,2
183,-174.47202222222225,-1149.0693214752343,-1323.5413436974566,2
184,-1040.7981,-1140.3519612626426,-2181.1500612626423,2
185,-1126.333708333333,-1345.7655995339194,-2472.0993078672527,2
186,-980.8404,-1084.8075277311743,-2065.6479277311746,2
187,-821.6447999999998,-1135.271187866582,-1956.9159878665819,2
188,-239.20260000000016,-1230.7442567631815,-1469.9468567631816,2
189,-1.5599999999999965,-1400.7044449926698,-1402.2644449926697,2
190,-1183.3361999999997,-1482.2294274354279,-2665.565627435428,2
191,-1178.8272,-1893.6174012250265,-3072.4446012250264,2
192,-1040.7008999999998,-1225.261878130549,-2265.962778130549,2
193,-264.35310000000004,-1251.041926644436,-1515.395026644436,2
194,-780.1877999999999,-1276.9983916286749,-2057.186191628675,2
195,-1.5599999999999965,-552.3174167893757,-553.8774167893756,2
196,-1197.6647999999998,-678.3065866962784,-1875.9713866962782,2
197,-1136.8224,-988.0892717203687,-2124.9116717203688,2
198,-268.8006,-901.9036361435124,-1170.7042361435124,2
199,-778.4387999999999,-525.7367993799011,-1304.175599379901,2
200,-1.5599999999999965,-849.5427711422186,-851.1027711422186,2
201,-1123.3301999999996,-918.1678495787141,-2041.4980495787138,2
202,-1067.9568,-1112.6284130632093,-2180.5852130632093,2
203,-430.0259999999999,-1200.3708218713082,-1630.396821871308,2
204,-777.5450000000001,-1018.8655014279362,-1796.4105014279362,2
205,-1086.8123999999998,-1221.6529908284103,-2308.46539082841,2
206,-1.5599999999999965,-1370.6674578467237,-1372.2274578467236,2
